workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,hit_rate_basis
memory,S,98134,replay,memsearch,openai,0.0,False,sq8,dedicated,0.19664683333333335,0.011685333333333334,0.18496150000000003,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,15.287953108345869,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,openai,1.0,True,pca_uc_384_sq8,marginal,0.02000563333333333,0.011685333333333334,0.008320299999999997,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.004929346243338657,True,False,,,True,measured
memory,S,98134,replay,memsearch,openai,0.5,True,pca_uc_384_sq8,marginal,0.10832623333333334,0.011685333333333334,0.0966409,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.0004243921522714566,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.9,True,pca_uc_384_sq8,marginal,0.03766975333333333,0.011685333333333334,0.02598442,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.0015783934968896982,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.95,True,pca_uc_384_sq8,marginal,0.02883769333333334,0.011685333333333334,0.017152360000000005,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.0023911368201489825,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.99,True,pca_uc_384_sq8,marginal,0.021772045333333337,0.011685333333333334,0.010086712000000003,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.004066105937043766,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.0,False,pca_uc_384_sq8,marginal,0.19664683333333335,0.011685333333333334,0.18496150000000003,0.0001559432040213496,0.0011649889277285683,0.00099968,0.0,4.101363954845061e-05,0.00022174149511358096,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,openai,1.0,True,sq8,marginal,0.02000563333333333,0.011685333333333334,0.008320299999999997,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.011588988774157472,True,False,,,True,measured
memory,S,98134,replay,memsearch,openai,0.5,True,sq8,marginal,0.10832623333333334,0.011685333333333334,0.0966409,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.0009977541941105928,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.9,True,sq8,marginal,0.03766975333333333,0.011685333333333334,0.02598442,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.0037108337726076772,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.95,True,sq8,marginal,0.02883769333333334,0.011685333333333334,0.017152360000000005,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.005621609113709272,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.99,True,sq8,marginal,0.021772045333333337,0.011685333333333334,0.010086712000000003,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.009559494044999239,True,False,,,True,sweep
memory,S,98134,replay,memsearch,openai,0.0,False,sq8,marginal,0.19664683333333335,0.011685333333333334,0.18496150000000003,0.0003817014060728252,0.002851537613093984,0.00099968,0.0,9.642386329762239e-05,0.0005213185624988032,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,open_weight,1.0,True,pca_uc_384_sq8,dedicated,1.0073698698698699e-05,0.0011424075325325324,-0.0011323338338338337,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,measured
memory,S,98134,replay,memsearch,open_weight,0.5,True,pca_uc_384_sq8,dedicated,0.010545480605605605,0.0011424075325325324,0.009403073073073073,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,300.719000785685,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.9,True,pca_uc_384_sq8,dedicated,0.0021171550800800796,0.0011424075325325324,0.0009747475475475472,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,2900.938551693441,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.95,True,pca_uc_384_sq8,dedicated,0.0010636143893893901,0.0011424075325325324,-7.879314314314227e-05,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.99,True,pca_uc_384_sq8,dedicated,0.00022078183683683702,0.0011424075325325324,-0.0009216256956956954,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.0,False,pca_uc_384_sq8,dedicated,0.02108088751251251,0.0011424075325325324,0.019938479979979978,0.0001559432040213496,86.06751,0.00099968,0.0,2.827682738849315,141.82037656273508,True,False,,,True,uncached_list
memory,S,98134,replay,memsearch,open_weight,1.0,True,sq8,dedicated,1.0073698698698699e-05,0.0011424075325325324,-0.0011323338338338337,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,measured
memory,S,98134,replay,memsearch,open_weight,0.5,True,sq8,dedicated,0.010545480605605605,0.0011424075325325324,0.009403073073073073,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,300.719000785685,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.9,True,sq8,dedicated,0.0021171550800800796,0.0011424075325325324,0.0009747475475475472,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,2900.938551693441,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.95,True,sq8,dedicated,0.0010636143893893901,0.0011424075325325324,-7.879314314314227e-05,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,sweep
memory,S,98134,replay,memsearch,open_weight,0.99,True,sq8,dedicated,0.00022078183683683702,0.0011424075325325324,-0.0009216256956956954,0.0003817014060728252,86.06751,0.00099968,0.0,2.827682738849315,inf,True,False,,,True,sweep
